cluster,tamano,etiqueta_mayoritaria,pureza
21,74,muy positivo,0.2432
1,56,muy positivo,0.3036
0,48,positivo,0.3125
8,35,muy negativo,0.3143
9,171,negativo,0.3275
6,954,muy positivo,0.3585
23,184,muy positivo,0.4674
4,892,muy negativo,0.4877
20,90,muy positivo,0.5111
15,101,positivo,0.5149
5,38,positivo,0.5526
3,137,positivo,0.562
19,27,negativo,0.5926
14,50,positivo,0.6
11,95,muy positivo,0.6211
16,27,muy positivo,0.6296
24,28,negativo,0.6786
10,70,positivo,0.6857
12,22,muy positivo,0.7273
13,12,positivo,0.75
17,32,muy positivo,0.8125
22,35,muy positivo,0.8857
2,29,positivo,0.931
7,57,muy negativo,0.9649
18,73,muy negativo,0.9726
