modelo,epoca,n_train,f1_valid,loss_train
svm,,537.0,0.5267,
svm,,1074.0,0.5496,
svm,,1611.0,0.5761,
svm,,2148.0,0.5799,
svm,,2685.0,0.5972,
naive_bayes,,537.0,0.5275,
naive_bayes,,1074.0,0.5533,
naive_bayes,,1611.0,0.5617,
naive_bayes,,2148.0,0.58,
naive_bayes,,2685.0,0.5801,
cnn,1.0,,0.3787,1.6681
cnn,2.0,,0.4951,1.3367
cnn,3.0,,0.475,1.1457
cnn,4.0,,0.5394,1.0078
cnn,5.0,,0.5625,0.8832
cnn,6.0,,0.5538,0.7833
cnn,7.0,,0.5489,0.6707
cnn,8.0,,0.5637,0.6327
cnn,9.0,,0.5723,0.5412
cnn,10.0,,0.5659,0.4746
cnn,11.0,,0.5343,0.4431
cnn,12.0,,0.5739,0.4058
cnn,13.0,,0.5828,0.3327
cnn,14.0,,0.5771,0.3307
cnn,15.0,,0.5576,0.2932
cnn,16.0,,0.5679,0.2646
cnn,17.0,,0.5679,0.2318
cnn,18.0,,0.5672,0.2194
lstm,1.0,,0.4249,1.4868
lstm,2.0,,0.5067,1.2142
lstm,3.0,,0.5408,1.0618
lstm,4.0,,0.56,0.9386
lstm,5.0,,0.5645,0.8277
lstm,6.0,,0.5677,0.7344
lstm,7.0,,0.5904,0.6613
lstm,8.0,,0.5878,0.5726
lstm,9.0,,0.6015,0.499
lstm,10.0,,0.5856,0.4455
lstm,11.0,,0.5872,0.3948
lstm,12.0,,0.5953,0.3434
lstm,13.0,,0.5824,0.2964
lstm,14.0,,0.5833,0.2407
beto,1.0,,0.7839,0.9867
beto,2.0,,0.7657,0.4724
beto,3.0,,0.7938,0.2323
beto,4.0,,0.7955,0.109
xlm_roberta,1.0,,0.4759,1.2872
xlm_roberta,2.0,,0.6886,0.8066
xlm_roberta,3.0,,0.7036,0.5395
xlm_roberta,4.0,,0.7331,0.4075
